market_brand;market_model;data_brand;model_cn;records;sample_usual_name
Chery;Tiggo 5;Chery;瑞虎5;12;瑞虎5
Chery;Tiggo 8;Chery;瑞虎8PRO;2;瑞虎8PRO
Chery;Tiggo 8 Pro;Chery;瑞虎8PLUS;2;瑞虎8PLUS
Exeed;TXL;Exeed;凌云;84;凌云
Exeed;VX;Exeed;揽月;107;揽月
Exeed;LX;Exeed;追风;29;星途追风
Exeed;Yaoguang;Exeed;瑶光;36;瑶光
Jetour;X70;Jetour;X70;508;X70
Jetour;X70 Plus;Jetour;X70 PLUS;64;X70 PLUS
Jetour;X70 Plus;Jetour;X70PLUS;34;X70 PLUS
Jetour;X90;Jetour;X90;108;X90
Jetour;X95;Jetour;X95;68;X95
Jetour;T2;Jetour;旅行者;68;旅行者
Changan;CS35 Plus;Changan;CS35 Plus;104;CS35 Plus
Changan;CS35 Plus;Changan;CS35 Plus;104;CS35 Plus
Changan;CS35 Plus;Changan;CS35Plus;35;CS35Plus
Changan;CS55 Plus;Changan;CS55PLUS;93;CS55PLUS
Changan;CS55 Plus;Changan;CS55PLUS;93;CS55PLUS
Changan;CS75 Plus;Changan;CS75PLUS;233;CS75PLUS
Changan;CS75 Plus;Changan;CS75PLUS;233;CS75PLUS
Changan;UNI-T;Changan;UNI-T;35;UNI-T
Changan;UNI-T;Changan;UNI-T;35;UNI-T
Changan;UNI-K;Changan;UNI-K;67;UNI-K
Changan;UNI-V;Changan;UNI-V;67;UNI-V
Changan;Eado;Changan;逸动;67;逸动
Changan;Alsvin;Changan;悦翔;97;悦翔
Changan;Hunter;Changan;凯程F70;91;凯程F70
Changan;Hunter;Changan;览拓者;44;览拓者
Omoda;C5;Chery;OMODA 5;10;OMODA 5
GAC;GS3;GAC;GS3;87;传祺GS3
GAC;GS4;GAC;GS4;120;传祺GS4
GAC;GS8;GAC;GS8;153;传祺GS8
GAC;M8;GAC;M8;160;传祺M8
GAC;Empow;GAC;影豹;29;传祺影豹
GAC;Aion S;Aion;AION S;38;AION S
GAC;Aion Y;Aion;AION Y;89;AION Y
BYD;Song Plus;BYD;宋PLUS;73;比亚迪宋PLUS
BYD;Song Pro;BYD;宋Pro;51;比亚迪宋Pro
BYD;Song Pro;BYD;宋Pro;51;比亚迪宋Pro
BYD;Tang;BYD;唐,比亚迪唐Pro;3;比亚迪唐,比亚迪唐Pro
BYD;Qin Plus;BYD;秦PLUS;67;比亚迪秦PLUS
BYD;Dolphin;BYD;海豚;25;比亚迪海豚
BYD;Seal;BYD;海豹;26;比亚迪海豹
BYD;Atto 3;BYD;元PLUS;25;比亚迪元PLUS
BYD;Song Max;BYD;宋MAX;44;比亚迪宋MAX
BYD;Destroyer 05;BYD;驱逐舰05;12;比亚迪驱逐舰05
BYD;Frigate 07;BYD;护卫舰07;13;比亚迪护卫舰07
JAC;S3;JAC;和悦S30;4;和悦S30
JAC;T6;JAC;T6;70;T6
JAC;T8;JAC;T8;T8PRO;27;T8,T8PRO
JAC;Refine M3;Refine;M3;116;瑞风M3
JAC;Refine M3;Refine;瑞风M3;24;瑞风M3
JAC;Refine M4;Refine;M4;74;瑞风M4
JAC;Refine M4;Refine;瑞风M4;11;瑞风M4
FAW;Bestune T77;Bestune;T77;31;奔腾T77
FAW;Bestune T77;Bestune;奔腾T77;1;奔腾T77
FAW;Bestune T55;Bestune;T55;9;奔腾T55
FAW;Bestune T55;Bestune;奔腾T55;2;奔腾T55
FAW;Bestune T33;Bestune;T33;10;奔腾T33
FAW;Bestune T99;Bestune;T99;24;奔腾T99
FAW;Bestune T99;Bestune;奔腾T99;2;奔腾T99
FAW;Bestune B70;Bestune;B70;63;奔腾B70
FAW;Bestune B70;Bestune;奔腾B70;5;奔腾B70
Hongqi;H5;Hongqi;H5;32;红旗H5
Hongqi;HS5;Hongqi;HS5;18;红旗HS5
Hongqi;H9;Hongqi;H9;38;红旗H9
Hongqi;E-HS9;Hongqi;E-HS9;24;红旗E-HS9
Dongfeng;Fengon 580;Fengon;风光580;121;东风风光580
Dongfeng;Fengon 580;Fengon;风光580;121;东风风光580
Dongfeng;Aeolus AX7;Aeolus;AX7;33;风神AX7
Dongfeng;Aeolus Yixuan;Aeolus;奕炫;34;风神奕炫
Forthing;T5 EVO;Forthing;T5 EVO;37;T5 EVO
Forthing;T5 EVO;Forthing;T5;风行T5L;风行T5;6;T5,风行T5L,风行T5
Forthing;T5;Forthing;T5;风行T5L;风行T5;6;T5,风行T5L,风行T5
Maxus;D60;Maxus;D60;24;上汽大通D60
Maxus;D90;Maxus;D90;115;大通D90
Maxus;G10;Maxus;G10;85;G10
Maxus;T60;Maxus;T60;56;T60
Maxus;T90;Maxus;T70;T90;大通星际R;大通星际H;星际R;星际H;52;T70,T90,大通星际R,大通星际H,星际R,星际H
Roewe;RX5;Roewe;RX5ePLUS;33;荣威RX5ePLUS
Roewe;RX5;Roewe;RX5;荣威RX5PLUS;10;荣威RX5,荣威RX5 PLUS
Roewe;i5;Roewe;Ei5;32;荣威Ei5
Baojun;510;Baojun;510;90;宝骏510
Baojun;530;Baojun;530;110;宝骏530
Baojun;730;Baojun;730;119;宝骏730
Baojun;RS-3;Baojun;RS-3;64;RS-3
Baojun;KiWi EV;Baojun;KiWi EV;42;KiWi EV
MG;ZS;MG;ZS;25;名爵ZS
MG;HS;MG;HS;18;名爵 HS
MG;MG5;MG;MG5;13;MG5
MG;MG6;MG;eMG6;44;名爵eMG6
Neta;V;Neta;AYA,哪吒V,哪吒V-II;11;哪吒AYA,哪吒V,哪吒V-II
Neta;U;Neta;U,哪吒UPro,哪吒U-Ⅱ;6;哪吒U,哪吒U Pro,哪吒U-Ⅱ
Neta;S;Neta;S,S,哪吒SF,SF;1;哪吒S,S,哪吒SF,SF
Leapmotor;T03;Leapmotor;T03;46;T03
Leapmotor;C11;Leapmotor;C11;115;C11
NIO;ES6;NIO;ES6;26;ES6
NIO;ES8;NIO;ES8;27;ES8
NIO;ET5;NIO;ET5T;28;ET5T
NIO;ET7;NIO;ET7;35;ET7
Kaiyi;X3;Kaiyi;炫界;37;炫界
Kaiyi;E5;Kaiyi;江豚E5;14;江豚E5
Soueast;DX3;Soueast;DX3;43;DX3
Soueast;DX7;Soueast;DX7;28;DX7
Brilliance;V3;Brilliance;V3;34;中华V3
JMC;Yusheng S350;JMC;S350;12;驭胜S350
JMC;Baodian;JMC;宝典;142;宝典
Foton;Tunland;Foton;拓陆者;167;拓陆者
Foton;View;Foton;风景G7;247;风景G7
Shineray;X30L;Shineray;X30L;447;X30L
Shineray;X30L;Shineray;金海狮M;55;金海狮M
Shineray;T50;Shineray;T50;349;T50
Wuling;Hongguang;Wuling;宏光;171;五菱宏光
Wuling;Rongguang;Wuling;荣光新卡;426;五菱荣光新卡
Wuling;Rongguang;Wuling;﻿五菱荣光;19;﻿五菱荣光
Wuling;Zhi Guang;Wuling;﻿五菱之光;104;﻿五菱之光
Wuling;Hongguang MINI EV;Wuling;宏光MINIEV;67;宏光MINIEV
Wuling;Hongguang MINI EV;Wuling;宏光MINI EV;35;宏光MINI EV
Wuling;Bingo;Wuling;缤果;49;五菱缤果
BAIC;BJ40;BAIC (Beijing);BJ40L;67;BJ40L
BAIC;BJ80;BAIC (Beijing);BJ80;46;BJ80
BAIC;X35;Toyota;LEXUS NX350h;28;LEXUS NX350h
BAIC;X55;BAIC (Beijing);绅宝X55;23;绅宝X55
BAIC;X7;BAIC;X7;25;X7
Chery;QQ;Chery;QQ冰淇淋;58;QQ冰淇淋
Chery;eQ;Chery;eQ1;107;eQ1
Dongfeng;Rich;Nissan;锐骐;192;锐骐
Dongfeng;Rich;Nissan;锐骐6;89;锐骐6
JAC;T9;Maxus;T70;T90;大通星际R;大通星际H;星际R;星际H;52;T70,T90,大通星际R,大通星际H,星际R,星际H
Foton;Aoling;Foton;奥铃;134;奥铃
Dongfeng;Fengxing;Dongfeng;景逸S50EV,风行S50EV;6;景逸S50EV,风行S50EV
Changan;Star;Changan;星卡;313;长安星卡
Wuling;Sunshine;Wuling;﻿五菱之光;104;﻿五菱之光
Tank;300;Tank;300;68;坦克300
Tank;500;Tank;500;66;坦克500
Tank;400;Tank;坦克400;11;坦克400
Tank;700;Tank;700;6;坦克700
WEY;VV5;WEY;VV5;27;VV5
WEY;VV6;WEY;VV6;13;VV6
WEY;VV7;WEY;VV7 PHEV;11;VV7 PHEV
Geely;Preface;Geely;preface;27;preface
Chery;Tiggo 3;Chery;瑞虎3X;27;瑞虎3X
Chery;Tiggo 3;Chery;TIGGO3X;2;TIGGO3X
Chery;Tiggo 4;Chery;TIGGO 5X;40;TIGGO 5X
Chery;Tiggo 4;Chery;TIGGO5X;13;TIGGO5X
Chery;Tiggo 7;Chery;TIGGO7;75;TIGGO7
Chery;Tiggo 7 Pro;Chery;TIGGO7;TIGGO7 PLUS;44;TIGGO7,TIGGO7 PLUS
Chery;Tiggo 8;Chery;TIGGO 8;330;TIGGO 8
Chery;Tiggo 8;Chery;TIGGO8;73;TIGGO8
Chery;Tiggo 8;Chery;瑞虎8PRO;2;瑞虎8PRO
Chery;Tiggo 8 Pro;Chery;TIGGO 8 PLUS PHEV;8;TIGGO 8 PLUS PHEV
Chery;Tiggo 9;Chery;TIGGO 9;42;TIGGO 9
Chery;Arrizo 5;Chery;ARRIZO5;79;ARRIZO5
Chery;Arrizo 8;Chery;ARRIZO 8;34;ARRIZO 8
Exeed;TXL;Exeed;TXL;62;TXL
Exeed;VX;Exeed;VX;84;VX
Exeed;LX;Exeed;追风;29;星途追风
Exeed;LX;Exeed;EXEED LX;星途追风;2;EXEED LX,星途追风
Jetour;X70;Jetour;X70;508;X70
Jetour;X70 Plus;Jetour;X70 PLUS;64;X70 PLUS
Jetour;X90;Jetour;X90;108;X90
Jetour;X95;Jetour;X95;68;X95
Jetour;T2;Jetour;旅行者;68;旅行者
Changan;Eado;Changan;逸动;67;逸动
Changan;Eado;Changan;EADO;65;EADO
BYD;Han;BYD;汉;49;比亚迪汉
BYD;Tang;BYD;唐;121;比亚迪唐
BYD;Qin Plus;BYD;秦PLUS;67;比亚迪秦PLUS
BYD;Qin Plus;BYD;秦PLUS;67;比亚迪秦PLUS
GAC;Aion S;Aion;(AION);437;AION S
GAC;Aion S;Aion;AION S;38;AION S
GAC;Aion Y;Aion;AION Y;89;AION Y
Omoda;C5;Chery;OMODA 5;10;OMODA 5
JAC;S5;JAC;瑞鹰S5;1;瑞鹰S5
JAC;Refine M3;Refine;M3;116;瑞风M3
JAC;Refine M3;Refine;瑞风M3;24;瑞风M3
Haval;H6S;Haval;H6s;23;哈弗H6s
Haval;H5;Haval;H5;45;哈弗H5
Haval;H5;Haval;H5MAX;10;哈弗H5MAX
Haval;H5;Haval;H5L;10;哈弗H5L
Wuling;Hongguang;Wuling;宏光;171;五菱宏光
Wuling;Rongguang;Wuling;荣光新卡;426;五菱荣光新卡
Great Wall;Wingle;Great Wall;风骏;257;风骏
Bestune;T77;Bestune;T77;31;奔腾T77
Bestune;T55;Bestune;T55;9;奔腾T55
Bestune;T33;Bestune;T33;10;奔腾T33
Bestune;T99;Bestune;T99;24;奔腾T99
Bestune;B70;Bestune;B70;63;奔腾B70
Hongqi;HS5;Hongqi;HS5;18;红旗HS5
Hongqi;H5;Hongqi;H5;32;红旗H5
Hongqi;H9;Hongqi;H9;38;红旗H9
Forthing;T5 EVO;Forthing;T5 EVO;37;T5 EVO
Forthing;T5 EVO;Forthing;T5;风行T5L;风行T5;6;T5,风行T5L,风行T5
Fengon;580;Fengon;风光580;121;东风风光580
Fengon;580;Fengon;风光580;121;东风风光580
Maxus;T60;Maxus;T60;56;T60
Maxus;T90;Maxus;T70;T90;大通星际R;大通星际H;星际R;星际H;52;T70,T90,大通星际R,大通星际H,星际R,星际H
Zeekr;001;Zeekr;001;161;001
Zeekr;009;Zeekr;009;18;009
Lotus;Eletre;Lotus;ELETRE;47;ELETRE
Lotus;Emeya;Lotus;EMEYA;85;EMEYA
Leapmotor;C11;Leapmotor;C11;115;C11
Leapmotor;T03;Leapmotor;T03;46;T03
NIO;ES6;NIO;ES6;26;ES6
NIO;ES8;NIO;ES8;27;ES8
Deepal;SL03;Deepal;SL03;104;SL03
Deepal;S7;Deepal;S7;32;S7
Yangwang;U8;Foton;祥菱U8;6;祥菱U8
Denza;D9;Denza;D9;28;腾势D9
Dongfeng;Rich 6;Nissan;锐骐;192;锐骐
Dongfeng;Rich 6;Nissan;锐骐6;89;锐骐6
Roewe;RX5;Roewe;RX5ePLUS;33;荣威RX5ePLUS
Roewe;i5;Roewe;Ei5;32;荣威Ei5
Roewe;i6;Roewe;ei6MAX;22;荣威ei6 MAX
MG;MG5;MG;MG5;13;MG5
MG;MG6;MG;eMG6;44;名爵eMG6
MG;ZS;MG;ZS;25;名爵ZS
MG;HS;MG;HS;18;名爵 HS
Foton;Tunland;Foton;拓陆者;167;拓陆者
Foton;Aoling;Foton;奥铃;134;奥铃
JMC;Yusheng S350;JMC;S350;12;驭胜S350
Shineray;X30L;Shineray;X30L;447;X30L
Shineray;X30L;Shineray;金海狮M;55;金海狮M
Changan;Star;Changan;星卡;313;长安星卡
Changan;Ruixing M80;Changan;睿行M80;46;睿行M80
